City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,mana,5.6592,-53.7767,28.84,65,0,3.27,GF,1722543957
342,lazaro cardenas,17.9583,-102.2,31.42,56,100,3.68,MX,1722543958
343,moab,38.5733,-109.5498,40.9,6,0,2.6,US,1722543819
344,gijang,35.2442,129.2139,25.85,93,1,3.13,KR,1722543960
345,amga,60.8953,131.9608,7.71,70,84,1.07,RU,1722543961
346,kalabo,-14.97,22.6814,18.19,21,0,2.99,ZM,1722543963
347,cassilandia,-19.1133,-51.7342,31.7,19,9,5.17,BR,1722543964
348,namibe,-15.1961,12.1522,17.12,85,51,1.94,AO,1722543965
349,katsuren-haebaru,26.3369,127.8719,29.21,85,40,2.57,JP,1722543966
350,chern',53.4523,36.9145,13.11,91,92,3.94,RU,1722543673
351,bontang,0.1333,117.5,25.28,89,58,3.01,ID,1722543968
352,constantia,44.1833,28.65,22.61,64,35,6.29,RO,1722543763
353,gunnison,38.7,-107.0673,27.17,11,99,2.53,US,1722543970
354,lorengau,-2.0226,147.2712,27.48,79,58,4.25,PG,1722543971
355,brush,40.2589,-103.6238,35.82,26,0,3.6,US,1722543972
356,nizhneudinsk,54.9076,99.0276,12.86,83,3,1.11,RU,1722543973
357,yulinshi,38.2906,109.7494,26.51,51,100,3.43,CN,1722543975
358,port saint john's,-31.6229,29.5448,15.49,82,82,3.34,ZA,1722543976
359,port shepstone,-30.7414,30.455,17.38,86,61,6.32,ZA,1722543977
360,saurimo,-9.6608,20.3916,20.66,19,7,2.03,AO,1722543978
361,sao jose de ribamar,-2.5619,-44.0542,30.21,72,77,5.44,BR,1722543980
362,brisas de zicatela,15.8369,-97.0419,31.29,74,75,4.12,MX,1722543981
